index,time_iso,relative_ms,delta_ms,direction,src_ip,src_port,dst_ip,dst_port,wire_len,captured_len,ip_len,seq,ack,flags,tcp_payload_len,payload_hex,section,interface_id
32,2026-08-13T10:01:29.320302+03:00,154.306,0.077,PC->DEV,192.168.3.65,53181,192.168.9.155,4000,102,102,88,1893634869,4237139201,ACK|PSH,48,FE CA A0 A0 29 00 00 00 00 40 90 0C 50 70 6A 09 87 FA 5A A5 0C F1 0C F1 34 00 01 00 00 00 00 00 58 00 01 00 04 00 02 00 04 00 00 00 00 00 00 00,1,0
33,2026-08-13T10:01:29.320459+03:00,154.463,0.157,DEV->PC,192.168.9.155,4000,192.168.3.65,53181,64,64,40,4237139201,1893634917,ACK,0,,1,0
34,2026-08-13T10:01:29.321718+03:00,155.722,1.259,DEV->PC,192.168.9.155,4000,192.168.3.65,53181,178,178,164,4237139201,1893634917,ACK|PSH,124,FE CA A0 A0 7C 00 00 00 00 00 00 00 00 40 90 0C 82 8A 30 AC 0C 42 B2 C2 34 00 01 00 00 00 00 00 58 00 00 00 C5 57 FB 3C 00 00 00 00 99 03 49 3B 00 00 00 00 C4 25 A1 39 00 00 00 00 00 00 80 3F 00 00 00 00 05 14 80 3F 69 7B A5 BA 00 00 00 00 00 00 00 00 00 00 80 3F 00 00 00 00 39 09 06 40 99 10 22 40 2F EC 94 40 4D 23 85 40 62 C9 13 BE 43 C7 AE 3F F5 66 74 3E 24 98 2E 40,1,0
35,2026-08-13T10:01:29.321840+03:00,155.844,0.122,PC->DEV,192.168.3.65,53181,192.168.9.155,4000,102,102,88,1893634917,4237139325,ACK|PSH,48,FE CA A0 A0 29 00 00 00 00 40 90 0C 50 70 6A 09 87 FA 5A A5 0C F1 0C F1 34 00 01 00 00 00 00 00 58 00 01 00 04 00 02 00 05 00 00 00 00 00 00 00,1,0
36,2026-08-13T10:01:29.322036+03:00,156.04,0.196,DEV->PC,192.168.9.155,4000,192.168.3.65,53181,64,64,40,4237139325,1893634965,ACK,0,,1,0
37,2026-08-13T10:01:29.323214+03:00,157.218,1.178,DEV->PC,192.168.9.155,4000,192.168.3.65,53181,178,178,164,4237139325,1893634965,ACK|PSH,124,FE CA A0 A0 7C 00 00 00 00 00 00 00 00 40 90 0C 82 8A 30 AC 0C 42 B2 C2 34 00 01 00 00 00 00 00 58 00 00 00 6F 57 FB 3C 00 00 00 00 3F 03 49 3B 00 00 00 00 2F 18 A1 39 00 00 00 00 00 00 80 3F 00 00 00 00 C2 13 80 3F 9A F3 9B BA 00 00 00 00 00 00 00 00 00 00 80 3F 00 00 00 00 8C A3 86 40 7F A5 6C 40 E1 A7 E7 40 B5 CE A9 40 7D B2 1F 40 B1 DD 1D 40 AE 0D 2E 40 1A 14 7A 40,1,0
38,2026-08-13T10:01:29.323323+03:00,157.327,0.109,PC->DEV,192.168.3.65,53181,192.168.9.155,4000,102,102,88,1893634965,4237139449,ACK|PSH,48,FE CA A0 A0 29 00 00 00 00 40 90 0C 50 70 6A 09 87 FA 5A A5 0C F1 0C F1 34 00 01 00 00 00 00 00 58 00 01 00 04 00 02 00 06 00 00 00 00 00 00 00,1,0
39,2026-08-13T10:01:29.323456+03:00,157.46,0.133,DEV->PC,192.168.9.155,4000,192.168.3.65,53181,64,64,40,4237139449,1893635013,ACK,0,,1,0
40,2026-08-13T10:01:29.324666+03:00,158.67,1.21,DEV->PC,192.168.9.155,4000,192.168.3.65,53181,178,178,164,4237139449,1893635013,ACK|PSH,124,FE CA A0 A0 7C 00 00 00 00 00 00 00 00 40 90 0C 82 8A 30 AC 0C 42 B2 C2 34 00 01 00 00 00 00 00 58 00 00 00 74 57 FB 3C 00 00 00 00 32 03 49 3B 00 00 00 00 62 08 A1 39 00 00 00 00 00 00 80 3F 00 00 00 00 DB 15 80 3F CC 2F C7 BA 00 00 00 00 00 00 00 00 00 00 80 3F 00 00 00 00 6D FF B4 40 CA 19 90 40 0E 10 05 41 04 A1 C1 40 15 55 6A 40 37 C4 4B 40 4B 21 58 40 E4 DB 90 40,1,0
41,2026-08-13T10:01:29.324792+03:00,158.796,0.126,PC->DEV,192.168.3.65,53181,192.168.9.155,4000,102,102,88,1893635013,4237139573,ACK|PSH,48,FE CA A0 A0 29 00 00 00 00 40 90 0C 50 70 6A 09 87 FA 5A A5 0C F1 0C F1 34 00 01 00 00 00 00 00 58 00 01 00 04 00 02 00 07 00 00 00 00 00 00 00,1,0
42,2026-08-13T10:01:29.324952+03:00,158.956,0.16,DEV->PC,192.168.9.155,4000,192.168.3.65,53181,64,64,40,4237139573,1893635061,ACK,0,,1,0
