# MIC-185 192.168.9.155:4000; packets=794
# idx  relative    delta direction flags      seq        ack        payload wire
   730  49687.655   30.877 DEV->PC ACK|PSH    4259504445 2344489401      84   138
   731  49734.227   46.572 PC->DEV ACK        2344489401 4259504529       0    54
   732  49752.619   18.392 DEV->PC ACK        4259504529 2344489401    1460  1514
   733  49752.728    0.109 DEV->PC ACK        4259505989 2344489401    1460  1514
   734  49752.751    0.023 PC->DEV ACK        2344489401 4259507449       0    54
   735  49752.813    0.062 DEV->PC ACK|PSH    4259507449 2344489401    1220  1274
   736  49796.509   43.696 PC->DEV ACK        2344489401 4259508669       0    54
   737  49902.648  106.139 DEV->PC ACK        4259508669 2344489401    1460  1514
   738  49902.740    0.092 DEV->PC ACK        4259510129 2344489401    1460  1514
   739  49902.760    0.020 PC->DEV ACK        2344489401 4259511589       0    54
   740  49902.803    0.043 DEV->PC ACK|PSH    4259511589 2344489401    1220  1274
   741  49950.798   47.995 PC->DEV ACK        2344489401 4259512809       0    54
   742  50002.591   51.793 DEV->PC ACK|PSH    4259512809 2344489401      84   138
   743  50044.108   41.517 PC->DEV ACK        2344489401 4259512893       0    54
   744  50052.614    8.506 DEV->PC ACK        4259512893 2344489401    1460  1514
   745  50052.721    0.107 DEV->PC ACK        4259514353 2344489401    1460  1514
   746  50052.737    0.016 PC->DEV ACK        2344489401 4259515813       0    54
   747  50052.783    0.046 DEV->PC ACK|PSH    4259515813 2344489401    1220  1274
   748  50105.436   52.653 PC->DEV ACK        2344489401 4259517033       0    54
   749  50202.632   97.196 DEV->PC ACK        4259517033 2344489401    1460  1514
   750  50202.729    0.097 DEV->PC ACK        4259518493 2344489401    1460  1514
   751  50202.736    0.007 PC->DEV ACK        2344489401 4259519953       0    54
   752  50202.792    0.056 DEV->PC ACK|PSH    4259519953 2344489401    1220  1274
   753  50245.419   42.627 PC->DEV ACK        2344489401 4259521173       0    54
   754  50352.597  107.178 DEV->PC ACK        4259521173 2344489401    1460  1514
   755  50352.705    0.108 DEV->PC ACK        4259522633 2344489401    1460  1514
   756  50352.719    0.014 PC->DEV ACK        2344489401 4259524093       0    54
   757  50352.774    0.055 DEV->PC ACK|PSH    4259524093 2344489401    1220  1274
   758  50400.613   47.839 PC->DEV ACK        2344489401 4259525313       0    54
   759  50502.644  102.031 DEV->PC ACK        4259525313 2344489401    1460  1514
   760  50502.752    0.108 DEV->PC ACK        4259526773 2344489401    1460  1514
   761  50502.795    0.043 PC->DEV ACK        2344489401 4259528233       0    54
   762  50502.840    0.045 DEV->PC ACK|PSH    4259528233 2344489401    1220  1274
   763  50553.935   51.095 PC->DEV ACK        2344489401 4259529453       0    54
   764  50652.638   98.703 DEV->PC ACK        4259529453 2344489401    1460  1514
   765  50652.744    0.106 DEV->PC ACK        4259530913 2344489401    1460  1514
   766  50652.760    0.016 PC->DEV ACK        2344489401 4259532373       0    54
   767  50652.806    0.046 DEV->PC ACK|PSH    4259532373 2344489401    1220  1274
   768  50688.789   35.983 DEV->PC ACK|PSH    4259533593 2344489401      84   138
   769  50690.049    1.260 PC->DEV ACK        2344489401 4259533677       0    54
   770  50802.579  112.530 DEV->PC ACK        4259533677 2344489401    1460  1514
   771  50802.667    0.088 DEV->PC ACK        4259535137 2344489401    1460  1514
   772  50802.675    0.008 PC->DEV ACK        2344489401 4259536597       0    54
   773  50802.790    0.115 DEV->PC ACK|PSH    4259536597 2344489401    1220  1274
   774  50849.446   46.656 PC->DEV ACK        2344489401 4259537817       0    54
   775  50952.598  103.152 DEV->PC ACK        4259537817 2344489401    1460  1514
   776  50952.704    0.106 DEV->PC ACK        4259539277 2344489401    1460  1514
   777  50952.708    0.004 PC->DEV ACK        2344489401 4259540737       0    54
   778  50952.774    0.066 DEV->PC ACK|PSH    4259540737 2344489401    1220  1274
   779  50953.732    0.958 PC->DEV ACK|PSH    2344489401 4259541957      32    86
   780  50954.025    0.293 DEV->PC ACK        4259541957 2344489433       0    64
   781  50955.708    1.683 DEV->PC ACK|PSH    4259541957 2344489433      32    86
   782  51003.807   48.099 PC->DEV ACK        2344489433 4259541989       0    54
   783  55923.621 4919.814 DEV->PC ACK        4259541988 2344489433       0    64
   784  55923.680    0.059 PC->DEV ACK        2344489433 4259541989       0    54
   785  55961.962   38.282 PC->DEV ACK        2344489432 4259541989       1    55
   786  55962.219    0.257 DEV->PC ACK        4259541989 2344489433       0    64
   787  60923.617 4961.398 DEV->PC ACK        4259541988 2344489433       0    64
   788  60923.670    0.053 PC->DEV ACK        2344489433 4259541989       0    54
   789  60970.788   47.118 PC->DEV ACK        2344489432 4259541989       1    55
   790  60971.064    0.276 DEV->PC ACK        4259541989 2344489433       0    64
   791  61938.906  967.842 PC->DEV ACK|FIN    2344489433 4259541989       0    54
   792  61939.246    0.340 DEV->PC ACK        4259541989 2344489434       0    64
   793  61939.542    0.296 DEV->PC ACK|FIN    4259541989 2344489434       0    64
   794  61939.629    0.087 PC->DEV ACK        2344489434 4259541990       0    54
