# MIC-185 192.168.9.155:4000; packets=794
# idx  relative    delta direction flags      seq        ack        payload wire
   158    230.032    0.357 PC->DEV ACK|PSH    1893636885 4237144409      48   102
   159    230.300    0.268 DEV->PC ACK        4237144409 1893636933       0    64
   160    231.463    1.163 DEV->PC ACK|PSH    4237144409 1893636933     124   178
   161    231.812    0.349 PC->DEV ACK|PSH    1893636933 4237144533      48   102
   162    232.036    0.224 DEV->PC ACK        4237144533 1893636981       0    64
   163    233.210    1.174 DEV->PC ACK|PSH    4237144533 1893636981     124   178
   164    233.825    0.615 PC->DEV ACK|PSH    1893636981 4237144657      48   102
   165    234.082    0.257 DEV->PC ACK        4237144657 1893637029       0    64
   166    235.380    1.298 DEV->PC ACK|PSH    4237144657 1893637029     124   178
   167    235.492    0.112 PC->DEV ACK|PSH    1893637029 4237144781      48   102
   168    235.741    0.249 DEV->PC ACK        4237144781 1893637077       0    64
   169    236.930    1.189 DEV->PC ACK|PSH    4237144781 1893637077     124   178
   170    237.038    0.108 PC->DEV ACK|PSH    1893637077 4237144905      48   102
   171    237.252    0.214 DEV->PC ACK        4237144905 1893637125       0    64
   172    238.454    1.202 DEV->PC ACK|PSH    4237144905 1893637125     124   178
   173    238.687    0.233 PC->DEV ACK|PSH    1893637125 4237145029      48   102
   174    238.882    0.195 DEV->PC ACK        4237145029 1893637173       0    64
   175    240.064    1.182 DEV->PC ACK|PSH    4237145029 1893637173     124   178
   176    240.309    0.245 PC->DEV ACK|PSH    1893637173 4237145153      48   102
   177    240.563    0.254 DEV->PC ACK        4237145153 1893637221       0    64
   178    241.672    1.109 DEV->PC ACK|PSH    4237145153 1893637221     124   178
   179    241.774    0.102 PC->DEV ACK|PSH    1893637221 4237145277      48   102
   180    242.017    0.243 DEV->PC ACK        4237145277 1893637269       0    64
   181    243.138    1.121 DEV->PC ACK|PSH    4237145277 1893637269     124   178
   182    243.226    0.088 PC->DEV ACK|PSH    1893637269 4237145401      48   102
   183    243.378    0.152 DEV->PC ACK        4237145401 1893637317       0    64
   184    244.591    1.213 DEV->PC ACK|PSH    4237145401 1893637317     124   178
