connection,relative_ms,direction,event,ioctl,packet_size,id_to,id_from,sha256,detail
1,0.0,TCP,connect,,0,,,,
1,226.081,DEV->PC,mebius_service,,124,00000000,0C904000,44e9d5a82fe69696,to=00000000;from=0C904000
1,226.571,PC->DEV,service,call_command,41,0C904000,096A7050,355ee75b0073943b,to=0C904000;from=096A7050
1,228.058,DEV->PC,mebius_service,,124,00000000,0C904000,f931acfef2160bfa,to=00000000;from=0C904000
1,228.303,PC->DEV,service,call_command,41,0C904000,096A7050,1188de1c34658c11,to=0C904000;from=096A7050
1,229.675,DEV->PC,mebius_service,,124,00000000,0C904000,fd53de364125afe8,to=00000000;from=0C904000
1,230.032,PC->DEV,service,call_command,41,0C904000,096A7050,642a4ccf58c94982,to=0C904000;from=096A7050
1,231.463,DEV->PC,mebius_service,,124,00000000,0C904000,1a7192ba192327fb,to=00000000;from=0C904000
1,231.812,PC->DEV,service,call_command,41,0C904000,096A7050,04d56c6849bbbb7c,to=0C904000;from=096A7050
1,233.21,DEV->PC,mebius_service,,124,00000000,0C904000,c538025a8be608f7,to=00000000;from=0C904000
1,233.825,PC->DEV,service,call_command,41,0C904000,096A7050,2e51bd6726eeb61f,to=0C904000;from=096A7050
1,235.38,DEV->PC,mebius_service,,124,00000000,0C904000,a8255cf553ecfee4,to=00000000;from=0C904000
1,235.492,PC->DEV,service,call_command,41,0C904000,096A7050,e6dd73466fc18361,to=0C904000;from=096A7050
1,236.93,DEV->PC,mebius_service,,124,00000000,0C904000,db5b6af11862fe7c,to=00000000;from=0C904000
1,237.038,PC->DEV,service,call_command,41,0C904000,096A7050,3d8ca6aaee663f81,to=0C904000;from=096A7050
1,238.454,DEV->PC,mebius_service,,124,00000000,0C904000,305b321607aac88a,to=00000000;from=0C904000
1,238.687,PC->DEV,service,call_command,41,0C904000,096A7050,e905ea90ff443304,to=0C904000;from=096A7050
1,240.064,DEV->PC,mebius_service,,124,00000000,0C904000,0acde316deb18544,to=00000000;from=0C904000
1,240.309,PC->DEV,service,call_command,41,0C904000,096A7050,8087fe73af81ffcb,to=0C904000;from=096A7050
1,241.672,DEV->PC,mebius_service,,124,00000000,0C904000,6378ca05507f3fb2,to=00000000;from=0C904000
1,241.774,PC->DEV,service,call_command,41,0C904000,096A7050,cfb32b8632f18b64,to=0C904000;from=096A7050
1,243.138,DEV->PC,mebius_service,,124,00000000,0C904000,83bd067e30a958ee,to=00000000;from=0C904000
1,243.226,PC->DEV,service,call_command,41,0C904000,096A7050,41bf0cc93b6df00a,to=0C904000;from=096A7050
1,244.591,DEV->PC,mebius_service,,124,00000000,0C904000,eb98a16eec84f8a8,to=00000000;from=0C904000
1,244.686,PC->DEV,service,call_command,41,0C904000,096A7050,4aa529a91ca77d52,to=0C904000;from=096A7050
1,246.033,DEV->PC,mebius_service,,124,00000000,0C904000,e896f6da7bd42c2d,to=00000000;from=0C904000
1,246.119,PC->DEV,service,call_command,41,0C904000,096A7050,30e661f9ecf046e1,to=0C904000;from=096A7050
1,247.494,DEV->PC,mebius_service,,124,00000000,0C904000,ef02f86b63ceabc6,to=00000000;from=0C904000
1,247.942,PC->DEV,service,call_command,41,0C904000,096A7050,333a2077c5541d86,to=0C904000;from=096A7050
1,249.476,DEV->PC,mebius_service,,124,00000000,0C904000,c54fdf8abf312fe6,to=00000000;from=0C904000
1,249.587,PC->DEV,service,call_command,41,0C904000,096A7050,9e4b392a93ef6b24,to=0C904000;from=096A7050
1,250.981,DEV->PC,mebius_service,,124,00000000,0C904000,587ea4ef27837137,to=00000000;from=0C904000
1,251.087,PC->DEV,service,call_command,41,0C904000,096A7050,a0b4a2c219e71e0d,to=0C904000;from=096A7050
1,252.44,DEV->PC,mebius_service,,124,00000000,0C904000,85e902ab0f8e7fe4,to=00000000;from=0C904000
1,252.529,PC->DEV,service,call_command,41,0C904000,096A7050,a8d91c8313955e63,to=0C904000;from=096A7050
1,253.9,DEV->PC,mebius_service,,124,00000000,0C904000,ef1b3eb448be3f61,to=00000000;from=0C904000
1,254.049,PC->DEV,service,call_command,41,0C904000,096A7050,e70e9f7caf864a88,to=0C904000;from=096A7050
1,255.465,DEV->PC,mebius_service,,124,00000000,0C904000,7384ef42b1c7f80b,to=00000000;from=0C904000
1,255.616,PC->DEV,service,call_command,41,0C904000,096A7050,c3a5b602e676b460,to=0C904000;from=096A7050
1,257.016,DEV->PC,mebius_service,,124,00000000,0C904000,93b6674a25a956dd,to=00000000;from=0C904000
1,257.116,PC->DEV,service,call_command,41,0C904000,096A7050,8dde724f92658a72,to=0C904000;from=096A7050
1,258.574,DEV->PC,mebius_service,,124,00000000,0C904000,f24ec7d6f60e7f5d,to=00000000;from=0C904000
1,258.721,PC->DEV,service,call_command,40,0C904000,096A7050,38a6b14cb527d593,to=0C904000;from=096A7050
1,260.086,DEV->PC,mebius_service,,52,00000000,0C904000,b7e3553fe81add48,to=00000000;from=0C904000
