# MIC-185 192.168.9.155:4000; packets=472
# idx  relative    delta direction flags      seq        ack        payload wire
   110   7753.340    0.100 DEV->PC ACK|PSH    3395992677 3419068218    1220  1274
   111   7793.542   40.202 PC->DEV ACK        3419068218 3395993897       0    54
   112   7903.170  109.628 DEV->PC ACK        3395993897 3419068218    1460  1514
   113   7903.241    0.071 DEV->PC ACK        3395995357 3419068218    1460  1514
   114   7903.244    0.003 PC->DEV ACK        3419068218 3395996817       0    54
   115   7903.349    0.105 DEV->PC ACK|PSH    3395996817 3419068218    1220  1274
   116   7949.092   45.743 PC->DEV ACK        3419068218 3395998037       0    54
   117   8001.121   52.029 DEV->PC ACK|PSH    3395998037 3419068218      84   138
   118   8042.674   41.553 PC->DEV ACK        3419068218 3395998121       0    54
   119   8053.172   10.498 DEV->PC ACK        3395998121 3419068218    1460  1514
   120   8053.253    0.081 DEV->PC ACK        3395999581 3419068218    1460  1514
   121   8053.258    0.005 PC->DEV ACK        3419068218 3396001041       0    54
   122   8053.359    0.101 DEV->PC ACK|PSH    3396001041 3419068218    1220  1274
   123   8103.958   50.599 PC->DEV ACK        3419068218 3396002261       0    54
   124   8203.314   99.356 DEV->PC ACK        3396002261 3419068218    1460  1514
   125   8203.474    0.160 DEV->PC ACK        3396003721 3419068218    1460  1514
   126   8203.476    0.002 DEV->PC ACK|PSH    3396005181 3419068218    1304  1358
   127   8203.523    0.047 PC->DEV ACK        3419068218 3396006485       0    54
   128   8353.247  149.724 DEV->PC ACK        3396006485 3419068218    1460  1514
   129   8353.347    0.100 DEV->PC ACK        3396007945 3419068218    1460  1514
   130   8353.348    0.001 DEV->PC ACK|PSH    3396009405 3419068218    1220  1274
   131   8353.362    0.014 PC->DEV ACK        3419068218 3396010625       0    54
   132   8503.229  149.867 DEV->PC ACK        3396010625 3419068218    1460  1514
   133   8503.289    0.060 DEV->PC ACK        3396012085 3419068218    1460  1514
   134   8503.296    0.007 PC->DEV ACK        3419068218 3396013545       0    54
   135   8503.454    0.158 DEV->PC ACK|PSH    3396013545 3419068218    1220  1274
   136   8551.740   48.286 PC->DEV ACK        3419068218 3396014765       0    54
   137   8653.271  101.531 DEV->PC ACK        3396014765 3419068218    1460  1514
   138   8653.409    0.138 DEV->PC ACK        3396016225 3419068218    1460  1514
   139   8653.411    0.002 DEV->PC ACK|PSH    3396017685 3419068218    1220  1274
   140   8653.461    0.050 PC->DEV ACK        3419068218 3396018905       0    54
   141   8803.279  149.818 DEV->PC ACK        3396018905 3419068218    1460  1514
   142   8803.315    0.036 DEV->PC ACK        3396020365 3419068218    1460  1514
   143   8803.322    0.007 PC->DEV ACK        3419068218 3396021825       0    54
   144   8803.421    0.099 DEV->PC ACK|PSH    3396021825 3419068218    1220  1274
   145   8847.462   44.041 PC->DEV ACK        3419068218 3396023045       0    54
   146   8953.240  105.778 DEV->PC ACK        3396023045 3419068218    1460  1514
   147   8953.390    0.150 DEV->PC ACK        3396024505 3419068218    1460  1514
   148   8953.391    0.001 DEV->PC ACK|PSH    3396025965 3419068218    1220  1274
   149   8953.439    0.048 PC->DEV ACK        3419068218 3396027185       0    54
   150   9001.339   47.900 DEV->PC ACK|PSH    3396027185 3419068218      84   138
   151   9046.838   45.499 PC->DEV ACK        3419068218 3396027269       0    54
   152   9103.203   56.365 DEV->PC ACK        3396027269 3419068218    1460  1514
   153   9103.259    0.056 DEV->PC ACK        3396028729 3419068218    1460  1514
   154   9103.268    0.009 PC->DEV ACK        3419068218 3396030189       0    54
   155   9103.389    0.121 DEV->PC ACK|PSH    3396030189 3419068218    1220  1274
   156   9155.895   52.506 PC->DEV ACK        3419068218 3396031409       0    54
   157   9202.954   47.059 DEV->PC ACK|PSH    3396031409 3419068218      84   138
   158   9247.889   44.935 PC->DEV ACK        3419068218 3396031493       0    54
   159   9253.113    5.224 DEV->PC ACK        3396031493 3419068218    1460  1514
   160   9253.208    0.095 DEV->PC ACK        3396032953 3419068218    1460  1514
   161   9253.218    0.010 PC->DEV ACK        3419068218 3396034413       0    54
   162   9253.330    0.112 DEV->PC ACK|PSH    3396034413 3419068218    1220  1274
   163   9293.428   40.098 PC->DEV ACK        3419068218 3396035633       0    54
   164   9403.179  109.751 DEV->PC ACK        3396035633 3419068218    1460  1514
   165   9403.257    0.078 DEV->PC ACK        3396037093 3419068218    1460  1514
   166   9403.273    0.016 PC->DEV ACK        3419068218 3396038553       0    54
   167   9403.426    0.153 DEV->PC ACK|PSH    3396038553 3419068218    1220  1274
   168   9447.551   44.125 PC->DEV ACK        3419068218 3396039773       0    54
   169   9553.247  105.696 DEV->PC ACK        3396039773 3419068218    1460  1514
   170   9553.358    0.111 DEV->PC ACK        3396041233 3419068218    1460  1514
   171   9553.359    0.001 DEV->PC ACK|PSH    3396042693 3419068218    1220  1274
   172   9553.368    0.009 PC->DEV ACK        3419068218 3396043913       0    54
   173   9703.128  149.760 DEV->PC ACK        3396043913 3419068218    1460  1514
   174   9703.250    0.122 DEV->PC ACK        3396045373 3419068218    1460  1514
   175   9703.253    0.003 PC->DEV ACK        3419068218 3396046833       0    54
   176   9703.347    0.094 DEV->PC ACK|PSH    3396046833 3419068218    1220  1274
   177   9754.876   51.529 PC->DEV ACK        3419068218 3396048053       0    54
   178   9853.175   98.299 DEV->PC ACK        3396048053 3419068218    1460  1514
   179   9853.298    0.123 DEV->PC ACK        3396049513 3419068218    1460  1514
   180   9853.334    0.036 PC->DEV ACK        3419068218 3396050973       0    54
   181   9853.426    0.092 DEV->PC ACK|PSH    3396050973 3419068218    1220  1274
   182   9907.544   54.118 PC->DEV ACK        3419068218 3396052193       0    54
   183  10000.378   92.834 DEV->PC ACK|PSH    3396052193 3419068218      84   138
   184  10003.133    2.755 DEV->PC ACK        3396052277 3419068218    1460  1514
   185  10003.155    0.022 PC->DEV ACK        3419068218 3396053737       0    54
   186  10003.211    0.056 DEV->PC ACK        3396053737 3419068218    1460  1514
   187  10003.300    0.089 DEV->PC ACK|PSH    3396055197 3419068218    1220  1274
   188  10003.307    0.007 PC->DEV ACK        3419068218 3396056417       0    54
   189  10153.208  149.901 DEV->PC ACK        3396056417 3419068218    1460  1514
   190  10153.258    0.050 DEV->PC ACK        3396057877 3419068218    1460  1514
   191  10153.266    0.008 PC->DEV ACK        3419068218 3396059337       0    54
   192  10153.362    0.096 DEV->PC ACK|PSH    3396059337 3419068218    1220  1274
   193  10200.722   47.360 PC->DEV ACK        3419068218 3396060557       0    54
   194  10202.994    2.272 DEV->PC ACK|PSH    3396060557 3419068218      84   138
   195  10248.342   45.348 PC->DEV ACK        3419068218 3396060641       0    54
   196  10303.188   54.846 DEV->PC ACK        3396060641 3419068218    1460  1514
   197  10303.277    0.089 DEV->PC ACK        3396062101 3419068218    1460  1514
   198  10303.278    0.001 DEV->PC ACK|PSH    3396063561 3419068218    1220  1274
