# MIC-185 192.168.9.155:4000; packets=1094
# idx  relative    delta direction flags      seq        ack        payload wire
   210    226.426    0.211 DEV->PC ACK        4169050517  533005135       0    64
   211    227.652    1.226 DEV->PC ACK|PSH    4169050517  533005135     124   178
   212    227.809    0.157 PC->DEV ACK|PSH     533005135 4169050641      40    94
   213    227.998    0.189 DEV->PC ACK        4169050641  533005175       0    64
   214    229.318    1.320 DEV->PC ACK|PSH    4169050641  533005175      52   106
   215    231.614    2.296 PC->DEV ACK|PSH     533005175 4169050693      48   102
   216    231.886    0.272 DEV->PC ACK        4169050693  533005223       0    64
   217    233.071    1.185 DEV->PC ACK|PSH    4169050693  533005223      44    98
   218    233.148    0.077 PC->DEV ACK|PSH     533005223 4169050737      48   102
   219    233.361    0.213 DEV->PC ACK        4169050737  533005271       0    64
   220    234.554    1.193 DEV->PC ACK|PSH    4169050737  533005271      44    98
   221    234.616    0.062 PC->DEV ACK|PSH     533005271 4169050781      48   102
   222    234.802    0.186 DEV->PC ACK        4169050781  533005319       0    64
   223    235.932    1.130 DEV->PC ACK|PSH    4169050781  533005319      44    98
   224    236.003    0.071 PC->DEV ACK|PSH     533005319 4169050825      48   102
   225    236.221    0.218 DEV->PC ACK        4169050825  533005367       0    64
   226    237.391    1.170 DEV->PC ACK|PSH    4169050825  533005367      44    98
   227    237.455    0.064 PC->DEV ACK|PSH     533005367 4169050869      48   102
   228    237.610    0.155 DEV->PC ACK        4169050869  533005415       0    64
   229    238.782    1.172 DEV->PC ACK|PSH    4169050869  533005415      40    94
   230    239.043    0.261 PC->DEV ACK|PSH     533005415 4169050909      48   102
   231    239.190    0.147 DEV->PC ACK        4169050909  533005463       0    64
   232    240.380    1.190 DEV->PC ACK|PSH    4169050909  533005463      36    90
   233    240.509    0.129 PC->DEV ACK|PSH     533005463 4169050945       0  4070
   234    243.437    2.928 DEV->PC ACK        4169050945  533009479       0    64
   235    248.173    4.736 DEV->PC ACK|PSH    4169050945  533009479      32    86
   236    248.335    0.162 PC->DEV ACK|PSH     533009479 4169050977      32    86
   237    248.520    0.185 DEV->PC ACK        4169050977  533009511       0    64
   238    249.767    1.247 DEV->PC ACK|PSH    4169050977  533009511      32    86
   239    249.901    0.134 PC->DEV ACK|PSH     533009511 4169051009      32    86
   240    250.090    0.189 DEV->PC ACK        4169051009  533009543       0    64
   241    251.520    1.430 DEV->PC ACK|PSH    4169051009  533009543      32    86
   242    305.844   54.324 PC->DEV ACK         533009543 4169051041       0    54
   243   5225.337 4919.493 DEV->PC ACK        4169051040  533009543       0    64
   244   5225.408    0.071 PC->DEV ACK         533009543 4169051041       0    54
   245   5252.773   27.365 PC->DEV ACK         533009542 4169051041       1    55
   246   5253.094    0.321 DEV->PC ACK        4169051041  533009543       0    64
   247  10225.367 4972.273 DEV->PC ACK        4169051040  533009543       0    64
   248  10225.514    0.147 PC->DEV ACK         533009543 4169051041       0    54
   249  10257.062   31.548 PC->DEV ACK         533009542 4169051041       1    55
   250  10257.382    0.320 DEV->PC ACK        4169051041  533009543       0    64
   251  13154.441 2897.059 PC->DEV ACK|FIN     533009543 4169051041       0    54
   252  13154.764    0.323 DEV->PC ACK        4169051041  533009544       0    64
   253  13154.955    0.191 PC->DEV SYN        2477009029          0       0    66
   254  13155.017    0.062 DEV->PC ACK|FIN    4169051041  533009544       0    64
   255  13155.031    0.014 PC->DEV ACK         533009544 4169051042       0    54
   256  13155.749    0.718 DEV->PC ACK|SYN    4177554432 2477009030       0    64
   257  13155.763    0.014 PC->DEV ACK        2477009030 4177554433       0    54
   258  13155.803    0.040 PC->DEV ACK|PSH    2477009030 4177554433      32    86
   259  13156.016    0.213 DEV->PC ACK        4177554433 2477009062       0    64
   260  13256.934  100.918 DEV->PC ACK|PSH    4177554433 2477009062      40    94
   261  13299.422   42.488 PC->DEV ACK|PSH    2477009062 4177554473      32    86
   262  13299.684    0.262 DEV->PC ACK        4177554473 2477009094       0    64
   263  13300.851    1.167 DEV->PC ACK|PSH    4177554473 2477009094      40    94
   264  13342.812   41.961 PC->DEV ACK        2477009094 4177554513       0    54
   265  15449.122 2106.310 PC->DEV ACK|PSH    2477009094 4177554513      32    86
   266  15449.390    0.268 DEV->PC ACK        4177554513 2477009126       0    64
   267  15450.630    1.240 DEV->PC ACK|PSH    4177554513 2477009126      40    94
   268  15495.644   45.014 PC->DEV ACK        2477009126 4177554553       0    54
   269  16728.134 1232.490 PC->DEV ACK|PSH    2477009126 4177554553      32    86
   270  16728.408    0.274 DEV->PC ACK        4177554553 2477009158       0    64
   271  16729.918    1.510 DEV->PC ACK|PSH    4177554553 2477009158     116   170
   272  16779.962   50.044 PC->DEV ACK        2477009158 4177554669       0    54
   273  16873.378   93.416 DEV->PC ACK|PSH    4177554669 2477009158      84   138
   274  16879.734    6.356 DEV->PC ACK        4177554753 2477009158    1460  1514
   275  16879.789    0.055 PC->DEV ACK        2477009158 4177556213       0    54
   276  16879.840    0.051 DEV->PC ACK        4177556213 2477009158    1460  1514
   277  16879.902    0.062 DEV->PC ACK|PSH    4177557673 2477009158    1220  1274
   278  16880.110    0.208 PC->DEV ACK        2477009158 4177558893       0    54
   279  17029.680  149.570 DEV->PC ACK        4177558893 2477009158    1460  1514
   280  17029.808    0.128 DEV->PC ACK        4177560353 2477009158    1460  1514
   281  17029.808    0.000 DEV->PC ACK|PSH    4177561813 2477009158    1220  1274
   282  17029.952    0.144 PC->DEV ACK        2477009158 4177563033       0    54
   283  17179.611  149.659 DEV->PC ACK        4177563033 2477009158    1460  1514
   284  17179.724    0.113 DEV->PC ACK        4177564493 2477009158    1460  1514
   285  17179.740    0.016 PC->DEV ACK        2477009158 4177565953       0    54
   286  17179.785    0.045 DEV->PC ACK|PSH    4177565953 2477009158    1220  1274
   287  17227.836   48.051 PC->DEV ACK        2477009158 4177567173       0    54
   288  17329.553  101.717 DEV->PC ACK        4177567173 2477009158    1460  1514
   289  17329.706    0.153 DEV->PC ACK        4177568633 2477009158    1460  1514
   290  17329.723    0.017 PC->DEV ACK        2477009158 4177570093       0    54
   291  17329.773    0.050 DEV->PC ACK|PSH    4177570093 2477009158    1220  1274
   292  17380.602   50.829 PC->DEV ACK        2477009158 4177571313       0    54
   293  17479.627   99.025 DEV->PC ACK        4177571313 2477009158    1460  1514
   294  17479.735    0.108 DEV->PC ACK        4177572773 2477009158    1460  1514
   295  17479.749    0.014 PC->DEV ACK        2477009158 4177574233       0    54
   296  17479.795    0.046 DEV->PC ACK|PSH    4177574233 2477009158    1220  1274
   297  17519.697   39.902 PC->DEV ACK        2477009158 4177575453       0    54
   298  17629.590  109.893 DEV->PC ACK        4177575453 2477009158    1460  1514
