2026-06-17 20:19:08.384 [DEBUG] [TID:15688|UIThread] 20:19:08.381 Project run-control config loaded: D:\works\OburecGH\Lazarus\RecorderLnx\config\projects\default\default.run-control.ini
2026-06-17 20:19:10.403 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_26 count=7 first=0,000000 last=0,060000 bufferCount=7 bufferCapacity=17281
2026-06-17 20:19:10.404 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_27 count=7 first=0,000000 last=0,060000 bufferCount=7 bufferCapacity=17281
2026-06-17 20:19:10.404 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_28 count=7 first=0,000000 last=0,060000 bufferCount=7 bufferCapacity=17281
2026-06-17 20:19:10.404 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_29 count=7 first=0,000000 last=0,060000 bufferCount=7 bufferCapacity=17281
2026-06-17 20:19:10.404 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_30 count=7 first=0,000000 last=0,060000 bufferCount=7 bufferCapacity=17281
2026-06-17 20:19:10.405 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_31 count=7 first=0,000000 last=0,060000 bufferCount=7 bufferCapacity=17281
2026-06-17 20:19:10.405 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_32 count=7 first=0,000000 last=0,060000 bufferCount=7 bufferCapacity=17281
2026-06-17 20:19:10.405 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_33 count=7 first=0,000000 last=0,060000 bufferCount=7 bufferCapacity=17281
2026-06-17 20:19:10.405 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_34 count=7 first=0,000000 last=0,060000 bufferCount=7 bufferCapacity=17281
2026-06-17 20:19:10.406 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_35 count=7 first=0,000000 last=0,060000 bufferCount=7 bufferCapacity=17281
2026-06-17 20:19:10.406 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_36 count=7 first=0,000000 last=0,060000 bufferCount=7 bufferCapacity=17281
2026-06-17 20:19:10.406 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_37 count=7 first=0,000000 last=0,060000 bufferCount=7 bufferCapacity=17281
2026-06-17 20:19:10.406 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_38 count=7 first=0,000000 last=0,060000 bufferCount=7 bufferCapacity=17281
2026-06-17 20:19:10.406 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_39 count=7 first=0,000000 last=0,060000 bufferCount=7 bufferCapacity=17281
2026-06-17 20:19:10.406 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_40 count=7 first=0,000000 last=0,060000 bufferCount=7 bufferCapacity=17281
2026-06-17 20:19:10.407 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_41 count=7 first=0,000000 last=0,060000 bufferCount=7 bufferCapacity=17281
2026-06-17 20:19:10.407 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_42 count=7 first=0,000000 last=0,060000 bufferCount=7 bufferCapacity=17281
2026-06-17 20:19:10.407 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_43 count=7 first=0,000000 last=0,060000 bufferCount=7 bufferCapacity=17281
2026-06-17 20:19:10.408 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_44 count=7 first=0,000000 last=0,060000 bufferCount=7 bufferCapacity=17281
2026-06-17 20:19:10.408 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_45 count=7 first=0,000000 last=0,060000 bufferCount=7 bufferCapacity=17281
2026-06-17 20:19:10.408 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_46 count=7 first=0,000000 last=0,060000 bufferCount=7 bufferCapacity=17281
2026-06-17 20:19:10.408 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_47 count=7 first=0,000000 last=0,060000 bufferCount=7 bufferCapacity=17281
2026-06-17 20:19:10.408 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_48 count=7 first=0,000000 last=0,060000 bufferCount=7 bufferCapacity=17281
2026-06-17 20:19:10.408 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] [DataSource:MIC-140: 192.168.14.155:4000] Tick took 94 ms on Thread 22908
2026-06-17 20:19:10.504 [DEBUG] [TID:15688|UIThread] 20:19:10.503 Update diag: elapsed=2125 ms uiTicks=1 dataEvents=58 renders=1 screenTimer=200 ms dataUpdate=200 ms
2026-06-17 20:19:10.504 [DEBUG] [TID:15688|UIThread] [UI] DrainUiEventQueue: Count=58, Time=16 ms, ThreadID=15688
2026-06-17 20:19:10.586 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_01 count=7 first=0,070000 last=0,130000 bufferCount=14 bufferCapacity=17281
2026-06-17 20:19:10.586 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_02 count=7 first=0,070000 last=0,130000 bufferCount=14 bufferCapacity=17281
2026-06-17 20:19:10.587 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_03 count=7 first=0,070000 last=0,130000 bufferCount=14 bufferCapacity=17281
2026-06-17 20:19:10.587 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_04 count=7 first=0,070000 last=0,130000 bufferCount=14 bufferCapacity=17281
2026-06-17 20:19:10.588 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_05 count=7 first=0,070000 last=0,130000 bufferCount=14 bufferCapacity=17281
2026-06-17 20:19:10.589 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_06 count=7 first=0,070000 last=0,130000 bufferCount=14 bufferCapacity=17281
2026-06-17 20:19:10.590 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_07 count=7 first=0,070000 last=0,130000 bufferCount=14 bufferCapacity=17281
2026-06-17 20:19:10.590 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_08 count=7 first=0,070000 last=0,130000 bufferCount=14 bufferCapacity=17281
2026-06-17 20:19:10.590 [DEBUG] [TID:22908|Src_MIC-140: 192.168.14.155:4000] Tag block: tag=MIC140_09 count=7 first=0,070000 last=0,130000 bufferCount=14 bufferCapacity=17281
