index,time_iso,relative_ms,delta_ms,direction,src_ip,src_port,dst_ip,dst_port,wire_len,captured_len,ip_len,seq,ack,flags,tcp_payload_len,payload_hex,section,interface_id
56,2026-08-13T08:28:53.433679+03:00,27463.088,27.469,PC->DEV,192.168.5.100,60971,192.168.9.155,4000,98,98,84,1688716941,3258386533,ACK|PSH,44,FE CA A0 A0 2C 00 00 00 00 40 90 0C 90 3C BA 06 42 B6 8A AA 0C F1 0C F1 34 00 01 00 00 00 00 00 00 00 04 00 30 00 02 00 01 00 00 00,1,0
57,2026-08-13T08:28:53.433969+03:00,27463.378,0.29,DEV->PC,192.168.9.155,4000,192.168.5.100,60971,64,64,40,3258386533,1688716985,ACK,0,,1,0
58,2026-08-13T08:28:53.435208+03:00,27464.617,1.239,DEV->PC,192.168.9.155,4000,192.168.5.100,60971,90,90,76,3258386533,1688716985,ACK|PSH,36,FE CA A0 A0 24 00 00 00 00 00 00 00 00 40 90 0C DA 8A 30 AC 78 42 B2 C2 34 00 01 00 00 00 00 00 00 00 00 00,1,0
59,2026-08-13T08:28:53.435500+03:00,27464.909,0.292,PC->DEV,192.168.5.100,60971,192.168.9.155,4000,4066,4066,0,1688716985,3258386569,ACK|PSH,0,,1,0
60,2026-08-13T08:28:53.438225+03:00,27467.634,2.725,DEV->PC,192.168.9.155,4000,192.168.5.100,60971,64,64,40,3258386569,1688720997,ACK,0,,1,0
61,2026-08-13T08:28:53.443270+03:00,27472.679,5.045,DEV->PC,192.168.9.155,4000,192.168.5.100,60971,86,86,72,3258386569,1688720997,ACK|PSH,32,FE CA A0 A0 20 00 00 00 00 00 00 00 00 40 90 0C DE 8A 30 AC 00 00 00 00 28 00 01 00 00 00 00 00,1,0
62,2026-08-13T08:28:53.443889+03:00,27473.298,0.619,PC->DEV,192.168.5.100,60971,192.168.9.155,4000,86,86,72,1688720997,3258386601,ACK|PSH,32,FE CA A0 A0 20 00 00 00 00 40 90 0C 90 3C BA 06 4E B6 8A AA 0C F1 0C F1 24 00 01 00 88 41 9A A7,1,0
63,2026-08-13T08:28:53.444220+03:00,27473.629,0.331,DEV->PC,192.168.9.155,4000,192.168.5.100,60971,64,64,40,3258386601,1688721029,ACK,0,,1,0
64,2026-08-13T08:28:53.445550+03:00,27474.959,1.33,DEV->PC,192.168.9.155,4000,192.168.5.100,60971,86,86,72,3258386601,1688721029,ACK|PSH,32,FE CA A0 A0 20 00 00 00 00 00 00 00 00 40 90 0C DE 8A 30 AC 00 00 00 00 24 00 01 00 00 00 00 00,1,0
65,2026-08-13T08:28:53.445930+03:00,27475.339,0.38,PC->DEV,192.168.5.100,60971,192.168.9.155,4000,82,82,68,1688721029,3258386633,ACK|PSH,28,FE CA A0 A0 1C 00 00 00 00 40 90 0C 90 3C BA 06 72 B6 8A AA 0C F1 0C F1 40 00 01 00,1,0
66,2026-08-13T08:28:53.446222+03:00,27475.631,0.292,DEV->PC,192.168.9.155,4000,192.168.5.100,60971,64,64,40,3258386633,1688721057,ACK,0,,1,0
67,2026-08-13T08:28:53.447653+03:00,27477.062,1.431,DEV->PC,192.168.9.155,4000,192.168.5.100,60971,86,86,72,3258386633,1688721057,ACK|PSH,32,FE CA A0 A0 20 00 00 00 00 00 00 00 00 40 90 0C DE 8A 30 AC 78 42 B2 C2 40 00 01 00 00 00 00 00,1,0
68,2026-08-13T08:28:53.496914+03:00,27526.323,49.261,PC->DEV,192.168.5.100,60971,192.168.9.155,4000,54,54,40,1688721057,3258386665,ACK,0,,1,0
69,2026-08-13T08:28:58.147375+03:00,32176.784,4650.461,PC->DEV,192.168.5.100,60971,192.168.9.155,4000,54,54,40,1688721057,3258386665,ACK|FIN,0,,1,0
70,2026-08-13T08:28:58.147606+03:00,32177.015,0.231,DEV->PC,192.168.9.155,4000,192.168.5.100,60971,64,64,40,3258386665,1688721058,ACK,0,,1,0
71,2026-08-13T08:28:58.147925+03:00,32177.334,0.319,DEV->PC,192.168.9.155,4000,192.168.5.100,60971,64,64,40,3258386665,1688721058,ACK|FIN,0,,1,0
72,2026-08-13T08:28:58.147950+03:00,32177.359,0.025,PC->DEV,192.168.5.100,60971,192.168.9.155,4000,54,54,40,1688721058,3258386666,ACK,0,,1,0
73,2026-08-13T08:29:00.943344+03:00,34972.753,2795.394,PC->DEV,192.168.5.100,60976,192.168.9.155,4000,66,66,52,2164019711,0,SYN,0,,1,0
74,2026-08-13T08:29:00.943701+03:00,34973.11,0.357,DEV->PC,192.168.9.155,4000,192.168.5.100,60976,64,64,44,3263954432,2164019712,ACK|SYN,0,,1,0
75,2026-08-13T08:29:00.943736+03:00,34973.145,0.035,PC->DEV,192.168.5.100,60976,192.168.9.155,4000,54,54,40,2164019712,3263954433,ACK,0,,1,0
76,2026-08-13T08:29:01.973494+03:00,36002.903,1029.758,PC->DEV,192.168.5.100,60976,192.168.9.155,4000,94,94,80,2164019712,3263954433,ACK|PSH,40,FE CA A0 A0 28 00 00 00 00 40 90 0C C0 BC BA 06 16 36 8A AA 0C F1 0C F1 34 00 01 00 00 00 00 00 40 00 00 00 08 00 02 00,1,0
77,2026-08-13T08:29:01.973753+03:00,36003.162,0.259,DEV->PC,192.168.9.155,4000,192.168.5.100,60976,64,64,40,3263954433,2164019752,ACK,0,,1,0
78,2026-08-13T08:29:01.975131+03:00,36004.54,1.378,DEV->PC,192.168.9.155,4000,192.168.5.100,60976,154,154,140,3263954433,2164019752,ACK|PSH,100,FE CA A0 A0 64 00 00 00 00 00 00 00 00 40 90 0C 9A 8A 30 AC 78 42 B2 C2 34 00 01 00 00 00 00 00 40 00 00 00 A7 00 00 00 06 18 40 01 00 00 00 00 00 00 00 00 70 30 A9 32 42 C7 DC 01 43 68 65 72 65 70 61 6E 6F 76 00 00 00 00 00 00 70 BF B2 02 64 BF B2 02 64 BF B2 02 00 02 00 00 A0 C9 53 D0 16 C8 DC 01,1,0
79,2026-08-13T08:29:01.998743+03:00,36028.152,23.612,PC->DEV,192.168.5.100,60976,192.168.9.155,4000,98,98,84,2164019752,3263954533,ACK|PSH,44,FE CA A0 A0 2C 00 00 00 00 40 90 0C C0 BC BA 06 12 36 8A AA 0C F1 0C F1 34 00 01 00 00 00 00 00 00 00 04 00 30 00 02 00 01 00 00 00,1,0
80,2026-08-13T08:29:01.998943+03:00,36028.352,0.2,DEV->PC,192.168.9.155,4000,192.168.5.100,60976,64,64,40,3263954533,2164019796,ACK,0,,1,0
81,2026-08-13T08:29:02.000118+03:00,36029.527,1.175,DEV->PC,192.168.9.155,4000,192.168.5.100,60976,90,90,76,3263954533,2164019796,ACK|PSH,36,FE CA A0 A0 24 00 00 00 00 00 00 00 00 40 90 0C DA 8A 30 AC 78 42 B2 C2 34 00 01 00 00 00 00 00 00 00 00 00,1,0
82,2026-08-13T08:29:02.002092+03:00,36031.501,1.974,PC->DEV,192.168.5.100,60976,192.168.9.155,4000,4066,4066,0,2164019796,3263954569,ACK|PSH,0,,1,0
83,2026-08-13T08:29:02.004779+03:00,36034.188,2.687,DEV->PC,192.168.9.155,4000,192.168.5.100,60976,64,64,40,3263954569,2164023808,ACK,0,,1,0
84,2026-08-13T08:29:02.009778+03:00,36039.187,4.999,DEV->PC,192.168.9.155,4000,192.168.5.100,60976,86,86,72,3263954569,2164023808,ACK|PSH,32,FE CA A0 A0 20 00 00 00 00 00 00 00 00 40 90 0C DE 8A 30 AC 00 00 00 00 28 00 01 00 00 00 00 00,1,0
85,2026-08-13T08:29:02.010469+03:00,36039.878,0.691,PC->DEV,192.168.5.100,60976,192.168.9.155,4000,86,86,72,2164023808,3263954601,ACK|PSH,32,FE CA A0 A0 20 00 00 00 00 40 90 0C C0 BC BA 06 1E 36 8A AA 0C F1 0C F1 24 00 01 00 FA E2 D8 A7,1,0
86,2026-08-13T08:29:02.010751+03:00,36040.16,0.282,DEV->PC,192.168.9.155,4000,192.168.5.100,60976,64,64,40,3263954601,2164023840,ACK,0,,1,0
87,2026-08-13T08:29:02.011959+03:00,36041.368,1.208,DEV->PC,192.168.9.155,4000,192.168.5.100,60976,86,86,72,3263954601,2164023840,ACK|PSH,32,FE CA A0 A0 20 00 00 00 00 00 00 00 00 40 90 0C DE 8A 30 AC 00 00 00 00 24 00 01 00 00 00 00 00,1,0
88,2026-08-13T08:29:02.012288+03:00,36041.697,0.329,PC->DEV,192.168.5.100,60976,192.168.9.155,4000,82,82,68,2164023840,3263954633,ACK|PSH,28,FE CA A0 A0 1C 00 00 00 00 40 90 0C C0 BC BA 06 22 36 8A AA 0C F1 0C F1 40 00 01 00,1,0
89,2026-08-13T08:29:02.012481+03:00,36041.89,0.193,DEV->PC,192.168.9.155,4000,192.168.5.100,60976,64,64,40,3263954633,2164023868,ACK,0,,1,0
90,2026-08-13T08:29:02.013872+03:00,36043.281,1.391,DEV->PC,192.168.9.155,4000,192.168.5.100,60976,86,86,72,3263954633,2164023868,ACK|PSH,32,FE CA A0 A0 20 00 00 00 00 00 00 00 00 40 90 0C DE 8A 30 AC 78 42 B2 C2 40 00 01 00 00 00 00 00,1,0
91,2026-08-13T08:29:02.067351+03:00,36096.76,53.479,PC->DEV,192.168.5.100,60976,192.168.9.155,4000,54,54,40,2164023868,3263954665,ACK,0,,1,0
92,2026-08-13T08:29:06.301704+03:00,40331.113,4234.353,PC->DEV,192.168.5.100,60976,192.168.9.155,4000,94,94,80,2164023868,3263954665,ACK|PSH,40,FE CA A0 A0 28 00 00 00 00 40 90 0C C0 BC BA 06 16 36 8A AA 0C F1 0C F1 34 00 01 00 00 00 00 00 40 00 00 00 08 00 02 00,1,0
93,2026-08-13T08:29:06.302001+03:00,40331.41,0.297,DEV->PC,192.168.9.155,4000,192.168.5.100,60976,64,64,40,3263954665,2164023908,ACK,0,,1,0
