# MIC-185 192.168.9.155:4000; packets=1803
# idx  relative    delta direction flags      seq        ack        payload wire
   112  41929.044  149.647 DEV->PC ACK        3263963261 2164023976    1460  1514
   113  41929.127    0.083 DEV->PC ACK        3263964721 2164023976    1460  1514
   114  41929.134    0.007 PC->DEV ACK        2164023976 3263966181       0    54
   115  41929.257    0.123 DEV->PC ACK|PSH    3263966181 2164023976    1220  1274
   116  41984.351   55.094 PC->DEV ACK        2164023976 3263967401       0    54
   117  42070.221   85.870 DEV->PC ACK|PSH    3263967401 2164023976      84   138
   118  42079.033    8.812 DEV->PC ACK        3263967485 2164023976    1460  1514
   119  42079.039    0.006 PC->DEV ACK        2164023976 3263968945       0    54
   120  42079.120    0.081 DEV->PC ACK        3263968945 2164023976    1460  1514
   121  42079.254    0.134 DEV->PC ACK|PSH    3263970405 2164023976    1220  1274
   122  42079.258    0.004 PC->DEV ACK        2164023976 3263971625       0    54
   123  42229.062  149.804 DEV->PC ACK        3263971625 2164023976    1460  1514
   124  42229.183    0.121 DEV->PC ACK        3263973085 2164023976    1460  1514
   125  42229.189    0.006 PC->DEV ACK        2164023976 3263974545       0    54
   126  42229.243    0.054 DEV->PC ACK|PSH    3263974545 2164023976    1220  1274
   127  42279.351   50.108 PC->DEV ACK        2164023976 3263975765       0    54
   128  42379.054   99.703 DEV->PC ACK        3263975765 2164023976    1460  1514
   129  42379.176    0.122 DEV->PC ACK        3263977225 2164023976    1460  1514
   130  42379.179    0.003 PC->DEV ACK        2164023976 3263978685       0    54
   131  42379.272    0.093 DEV->PC ACK|PSH    3263978685 2164023976    1220  1274
   132  42419.192   39.920 PC->DEV ACK        2164023976 3263979905       0    54
   133  42478.837   59.645 DEV->PC ACK|PSH    3263979905 2164023976      84   138
   134  42526.670   47.833 PC->DEV ACK        2164023976 3263979989       0    54
   135  42529.048    2.378 DEV->PC ACK        3263979989 2164023976    1460  1514
   136  42529.131    0.083 DEV->PC ACK        3263981449 2164023976    1460  1514
   137  42529.154    0.023 PC->DEV ACK        2164023976 3263982909       0    54
   138  42529.323    0.169 DEV->PC ACK|PSH    3263982909 2164023976    1220  1274
   139  42573.338   44.015 PC->DEV ACK        2164023976 3263984129       0    54
   140  42679.104  105.766 DEV->PC ACK        3263984129 2164023976    1460  1514
   141  42679.166    0.062 DEV->PC ACK        3263985589 2164023976    1460  1514
   142  42679.176    0.010 PC->DEV ACK        2164023976 3263987049       0    54
   143  42679.295    0.119 DEV->PC ACK|PSH    3263987049 2164023976    1220  1274
   144  42729.245   49.950 PC->DEV ACK        2164023976 3263988269       0    54
   145  42829.043   99.798 DEV->PC ACK        3263988269 2164023976    1460  1514
   146  42829.165    0.122 DEV->PC ACK        3263989729 2164023976    1460  1514
   147  42829.171    0.006 PC->DEV ACK        2164023976 3263991189       0    54
