connection,relative_ms,direction,event,ioctl,packet_size,id_to,id_from,sha256,detail
5,47329.137,DEV->PC,mebius_service,,4140,00000000,3E904000,f3dffafe8e91a182,to=00000000;from=3E904000
5,47479.026,DEV->PC,mebius_service,,4140,00000000,3E904000,98c4bebecebc4f76,to=00000000;from=3E904000
5,47479.242,DEV->PC,mebius_service,,84,00000000,3E904000,ce31178454719ea5,to=00000000;from=3E904000
5,47628.955,DEV->PC,mebius_service,,4140,00000000,3E904000,632e42bfb3d343f7,to=00000000;from=3E904000
5,47779.11,DEV->PC,mebius_service,,4140,00000000,3E904000,ff480034697bd2f4,to=00000000;from=3E904000
5,47929.134,DEV->PC,mebius_service,,4140,00000000,3E904000,d7f7752bb9053735,to=00000000;from=3E904000
5,48071.946,DEV->PC,mebius_service,,84,00000000,3E904000,6e23469a6e2f9ee5,to=00000000;from=3E904000
5,48079.004,DEV->PC,mebius_service,,4140,00000000,3E904000,2bf7b67e921a2c3d,to=00000000;from=3E904000
5,48228.959,DEV->PC,mebius_service,,4140,00000000,3E904000,d1bc133a2b9b0ea6,to=00000000;from=3E904000
5,48378.945,DEV->PC,mebius_service,,4140,00000000,3E904000,ec5a7f9af6f016a0,to=00000000;from=3E904000
5,48478.83,DEV->PC,mebius_service,,84,00000000,3E904000,7724cd20ae0a00ed,to=00000000;from=3E904000
5,48528.982,DEV->PC,mebius_service,,4140,00000000,3E904000,130e500c9d784725,to=00000000;from=3E904000
5,48678.961,DEV->PC,mebius_service,,4140,00000000,3E904000,4fb0667a47ce55b1,to=00000000;from=3E904000
5,48828.913,DEV->PC,mebius_service,,4140,00000000,3E904000,a2b9c9e589e83970,to=00000000;from=3E904000
5,48978.925,DEV->PC,mebius_service,,4140,00000000,3E904000,6088729056e2d4c8,to=00000000;from=3E904000
5,49072.065,DEV->PC,mebius_service,,84,00000000,3E904000,63058a603c9a6d85,to=00000000;from=3E904000
5,49129.042,DEV->PC,mebius_service,,4140,00000000,3E904000,ff469a7d09d78e91,to=00000000;from=3E904000
5,49278.947,DEV->PC,mebius_service,,4140,00000000,3E904000,c9fc870edee1cf34,to=00000000;from=3E904000
5,49428.916,DEV->PC,mebius_service,,4140,00000000,3E904000,53475254cbed3c3e,to=00000000;from=3E904000
5,49478.787,DEV->PC,mebius_service,,84,00000000,3E904000,f0443dc302282bfa,to=00000000;from=3E904000
5,49578.981,DEV->PC,mebius_service,,4140,00000000,3E904000,c23404358da722b2,to=00000000;from=3E904000
5,49729.055,DEV->PC,mebius_service,,4140,00000000,3E904000,0b796fdab67e07e3,to=00000000;from=3E904000
5,49878.946,DEV->PC,mebius_service,,4140,00000000,3E904000,0cf270d8ae42bf26,to=00000000;from=3E904000
